Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,262.000000,262.049988,248.899994,248.899994,248.899994,74715306
2023-08-22,236.449997,236.449997,236.449997,236.449997,236.449997,7281398
2023-08-23,224.649994,224.649994,224.649994,224.649994,224.649994,4289046
2023-08-24,213.449997,213.449997,213.449997,213.449997,213.449997,27673350
2023-08-25,202.800003,224.100006,202.800003,214.500000,214.500000,281040100
2023-08-28,213.350006,222.250000,207.550003,211.149994,211.149994,87522120
2023-08-29,212.000000,221.699997,207.250000,220.250000,220.250000,92693420
2023-08-30,224.899994,231.250000,224.699997,231.250000,231.250000,21403170
2023-08-31,241.699997,242.800003,231.149994,233.500000,233.500000,124122100
2023-09-01,235.000000,245.149994,234.199997,245.149994,245.149994,39481020
2023-09-04,255.300003,266.950012,249.000000,253.449997,253.449997,99246730
2023-09-05,257.000000,260.000000,253.000000,255.050003,255.050003,47127070
2023-09-06,247.000000,259.799988,246.050003,252.850006,252.850006,225413100
2023-09-07,252.000000,257.299988,251.250000,251.800003,251.800003,43856830
2023-09-08,254.000000,255.000000,249.500000,253.199997,253.199997,36090000
2023-09-11,256.950012,257.700012,250.000000,250.149994,250.149994,24982850
2023-09-12,251.750000,252.000000,240.899994,244.250000,244.250000,39500710
2023-09-13,244.800003,247.800003,236.600006,240.199997,240.199997,27810990
2023-09-14,242.000000,244.550003,241.250000,242.550003,242.550003,14055230
2023-09-15,243.800003,244.649994,237.649994,239.399994,239.399994,27416100
2023-09-18,240.000000,240.850006,232.100006,233.199997,233.199997,24694410
2023-09-20,230.399994,232.000000,229.000000,229.649994,229.649994,18317600
2023-09-21,230.000000,235.600006,226.800003,227.649994,227.649994,33101550
2023-09-22,227.949997,232.250000,226.350006,227.800003,227.800003,38327550
2023-09-25,230.000000,230.850006,227.500000,229.750000,229.750000,13392150
2023-09-26,231.100006,231.699997,230.000000,230.399994,230.399994,8058261
2023-09-27,231.199997,231.199997,227.000000,227.350006,227.350006,10984320
2023-09-28,228.000000,228.850006,224.750000,225.050003,225.050003,9143582
2023-09-29,225.899994,232.899994,225.000000,231.199997,231.199997,12411230
2023-10-03,231.500000,233.899994,230.550003,231.399994,231.399994,13185430
2023-10-04,230.000000,230.000000,223.500000,224.649994,224.649994,23296540
2023-10-05,225.899994,227.899994,224.199997,225.399994,225.399994,13894930
2023-10-06,226.500000,227.649994,223.699997,225.100006,225.100006,7531900
2023-10-09,223.000000,223.000000,218.850006,219.649994,219.649994,9696908
2023-10-10,221.000000,223.899994,219.750000,220.149994,220.149994,10451280
2023-10-11,222.000000,227.699997,220.600006,225.100006,225.100006,11765080
2023-10-12,227.000000,227.399994,224.750000,225.149994,225.149994,7780605
2023-10-13,224.000000,225.899994,222.000000,224.550003,224.550003,10137210
2023-10-16,224.899994,225.949997,224.000000,224.800003,224.800003,10850720
2023-10-17,231.500000,233.000000,220.500000,220.949997,220.949997,34190040
2023-10-18,221.600006,222.899994,215.550003,216.000000,216.000000,27712060
2023-10-19,216.000000,216.000000,209.050003,214.199997,214.199997,42127110
2023-10-20,215.500000,217.000000,213.000000,214.199997,214.199997,11101460
2023-10-23,214.000000,214.199997,204.250000,206.600006,206.600006,17817780
2023-10-25,206.600006,211.800003,206.500000,210.149994,210.149994,22079260
2023-10-26,208.000000,217.000000,206.449997,215.850006,215.850006,23734030
2023-10-27,219.600006,225.600006,216.449997,222.899994,222.899994,20929440
2023-10-30,224.500000,226.199997,218.149994,219.000000,219.000000,13508660
2023-10-31,222.000000,223.199997,215.550003,219.000000,219.000000,17538200
2023-11-01,216.000000,222.050003,215.300003,217.649994,217.649994,15862620
2023-11-02,218.500000,219.600006,216.699997,217.350006,217.350006,13261560
2023-11-03,219.000000,220.649994,217.649994,219.050003,219.050003,8569115
2023-11-06,220.399994,220.699997,216.750000,217.149994,217.149994,11494090
2023-11-07,217.899994,218.800003,216.500000,217.199997,217.199997,7558170
2023-11-08,217.800003,217.899994,213.800003,214.149994,214.149994,17101600
2023-11-09,214.850006,217.699997,214.850006,215.149994,215.149994,17250090
2023-11-10,214.850006,222.949997,214.350006,221.949997,221.949997,18467210
2023-11-13,223.000000,225.899994,222.250000,224.750000,224.750000,12086990
2023-11-15,226.949997,227.350006,223.199997,224.149994,224.149994,15782000
2023-11-16,225.500000,229.300003,223.850006,226.949997,226.949997,17856030
2023-11-17,226.000000,226.000000,220.399994,220.800003,220.800003,19607100
2023-11-20,221.750000,221.750000,215.050003,215.500000,215.500000,20403360
2023-11-21,217.399994,223.149994,216.550003,220.199997,220.199997,25625460
2023-11-22,219.699997,223.399994,218.500000,221.899994,221.899994,15012270
2023-11-23,222.500000,223.250000,219.600006,221.250000,221.250000,11267950
2023-11-24,221.899994,227.850006,220.500000,226.500000,226.500000,31420610
2023-11-28,228.050003,232.300003,225.300003,226.350006,226.350006,25668670
2023-11-29,229.350006,229.350006,224.199997,226.050003,226.050003,14007700
2023-11-30,226.050003,231.800003,222.649994,229.399994,229.399994,45432210
2023-12-01,231.449997,231.600006,224.850006,225.500000,225.500000,17634910
2023-12-04,229.750000,232.000000,227.899994,230.100006,230.100006,21079660
2023-12-05,231.000000,246.000000,229.399994,242.500000,242.500000,60847480
